Type,Name,Contact Info,Street Address,Borough,Zip Code,Days of Operation,Hours of Operation,State,Latitude,Longitude,City,Country
Food Pantry,ST. LUKES FOOD PANTRY ,718 665-6677,623 EAST 138TH STREET,The Bronx,10454,Friday,10AM-1PM,New York,40.8062342,-73.9155423,,
Food Pantry,BRONX TEMPLE SEVENTH DAY ADVENTIST CHURCH ,718-842-4504,495 WILLIS AVENUE,The Bronx,10455,"Monday,Wednesday,Thursday",11:30AM-2:30PM,New York,40.8149924,-73.9187996,,
Food Pantry,CCCS BRONX FOOD PANTRY ,718-292-9090,402 EAST 152ND STREET,The Bronx,10455,"Wednesday/Thursday,Friday",4-6PM/10AM-12PM,New York,40.817953,-73.9166437,,
FPM, CITY HARVEST - ST. MARY'S MOBILE MARKET ,646-412-0740,595 TRINITY AVENUE,The Bronx,10455,"Tuesday(4),Saturday(2)",9:30-11:30AM,New York,40.8151927,-73.909806,,
Food Pantry,GIVE THEM TO EAT ,646-522-2635,800 EAST 156TH STREET,The Bronx,10455,Friday,11AM-2PM,New York,40.8175082,-73.9044008,,
Food Pantry,"UNITED BRONX PARENTS, INC. ",718 991-7100,603 PROSPECT AVENUE,The Bronx,10455,"Wednesday,Thursday,Friday",11AM-12PM,New York,40.8139648,-73.904166,,
SKM," UNITED BRONX PARENTS, INC. ",718 991-7100,603 PROSPECT AVENUE,The Bronx,10455,Monday-Friday,2:30-4PM,New York,40.8139648,-73.904166,,
Food Pantry,"WAY OUT CHURCH MINISTRIES, INC ",718-665-8069,520 EAST 148TH STREET,The Bronx,10455,"Wednesday,Friday",9-10:30AM,New York,40.8138891,-73.914716,,
Food Pantry,ADMIRABLE CHRIST MINISTRIES FOOD PANTRY ,570-856-7065,1446 PROSPECT AVENUE,The Bronx,10456,"Friday(2,4)",2-3:30PM,New York,40.8342818,-73.896681,,
Food Pantry,CARING SHEPERD SUPPLIES MINISTRIES INC ,917-743-0780,4056 BARNES AVENUE,The Bronx,10456,"Thursday(1,",LAST) 4-6PM(info by zip code in alpha order),New York,40.8891449,-73.8560531,,
Food Pantry,HOLY TABERNACLE CHURCH INC. ,718 293-9862,3780 THIRD AVENUE,The Bronx,10456,Tuesday,4:30-5PM,New York,40.836601,-73.9019845,,
Soup Kitchen,HOLY TABERNACLE CHURCH INC. ,718 293-9862,3780 THIRD AVENUE,The Bronx,10456,Tuesday,3:30-4:30PM,New York,40.836601,-73.9019845,,
Food Pantry,INSPIRATIONAL GOSPEL ASSEMBLY ,347-758-6447,1211 BROOK AVENUE,The Bronx,10456,Saturday,11AM-1PM,New York,40.8314663,-73.9093397,,
Food Pantry,"MANNA OF LIFE MINISTRIES, INC ",347-577-5788,1101 BOSTON ROAD,The Bronx,10456,"Wednesday,Thursday,Saturday",8AM-12PM,New York,40.8275462,-73.9049362,,
Soup Kitchen,"MANNA OF LIFE MINISTRIES, INC ",347-577-5788,1101 BOSTON ROAD,The Bronx,10456,Saturday,9AM-1PM,New York,40.8275462,-73.9049362,,
Food Pantry,MORRISANIA REVITALIZATION CORP INC ,718-589-7858,576B EAST 165TH STREET,The Bronx,10456,"Monday,Wednesday,Friday",9AM-1PM,New York,40.8314891,-73.9220934,,
Food Pantry,NEW COVENANT COMMUNITY DEVELOPMENT CORP ,718-328-6072,1175 BOSTON ROAD,The Bronx,10456,Tuesday/Thursday,2-4PM/10AM-1PM,New York,40.8289477,-73.9032067,,
Food Pantry,REDEEMED CHRISTIAN CHURCH OF GOD ,718-293-8996,1001-1005 MORRIS AVENUE,The Bronx,10456,Tuesday,2-6PM,New York,,,,
Food Pantry,THE BIBLE CHURCH OF CHRIST ,718-293-1928,1358 MORRIS AVENUE,The Bronx,10456,"Wednesday/Sunday(2,4)",1-4PM/3-5PM,New York,40.8371684,-73.9114816,,
Food Pantry,VINEYARD INTERNATIONAL CHRISTIAN MINISTRIES ,718-538-9211,1140 TELLER AVE,The Bronx,10456,Saturday,10AM-12PM,New York,40.8306747,-73.9122404,,
Food Pantry,"WORLD RESTORATION CENTER, INC ",718-971-1764,488 EAST 164TH STREET,The Bronx,10456,Saturday,12-2PM,New York,40.8254804,-73.9090265,,
Food Pantry,ASH-SHIFAA INC FP ,646-353-0859,2269 CROTONA AVENUE,The Bronx,10457,Monday-Thursday/Friday,1-5PM/2-5PM,New York,40.8516297,-73.8850591,,
Food Pantry,BRONX SEVENTH DAY ADVENTIST CHURCH ,646-353-8926,1695 WASHINGTON AVENUE,The Bronx,10457,Thursday,2-5PM,New York,40.8422137,-73.9011389,,
Food Pantry,MORNING STAR FULL GOSPEL ASSEMBLY ,718-294-6020,464 TREMONT AVENUE,The Bronx,10457,Wednesday,4-6PM,New York,40.8469562,-73.898329,,
Food Pantry,REVELACION DIVINA FOOD PANTRY  ,NONE PROVIDED,240 EAST 175TH STREET,The Bronx,10457,Monday,5-7PM,New York,40.8466237,-73.9061428,,
Food Pantry,SAGE CENTER BRONX ,718-960-333,1784 PROSPECT AVENUE,The Bronx,10457,Thursday(3),1-3PM,New York,40.8414861,-73.8915836,,
Food Pantry,ST. SIMON STOCK FOOD PANTRY ,718-367-1251,2195 VALENTINE AVENUE,The Bronx,10457,Friday,9-10AM,New York,40.8553309,-73.8991633,,
Food Pantry,THE GAMBIAN YOUTH ORGANIZATION FOOD PANTRY ,646-470-6330,214 EAST 181ST STREET,The Bronx,10457,"Sunday(,4)",2-5PM,New York,40.8543315,-73.9009187,,
Food Pantry,PART OF THE SOLUTION ,718 220-4892,2759 WEBSTER AVENUE,The Bronx,10458,Monday-Saturday,8:30-11AM,New York,40.8657042,-73.8864811,,
Soup Kitchen,PART OF THE SOLUTION ,718 220-4892,2759 WEBSTER AVENUE,The Bronx,10458,Monday-Friday,12:30-3:30PM,New York,40.8657042,-73.8864811,,
Food Pantry,THORPE FAMILY RESIDENCE ,718-295-2550,406 EAST 184TH STREET,The Bronx,10458,Wednesday,7:30-9:30AM,New York,40.8564215,-73.8946771,,
Food Pantry,GIVE BY GRACE WHAT BY GRACE YOU HAVE RECEIVED INC ,718-710-9339,936 EAST 165TH STREET,The Bronx,10459,Friday,12-1:30PM,New York,40.8236848,-73.8959901,,
Soup Kitchen,LOYAL BAPTIST CHURCH ,718 328-3512,881 EAST 167TH STREET,The Bronx,10459,Thursday,11AM-3PM,New York,40.8261729,-73.8962275,,
Food Pantry,NEW YORK COMMON PANTRY - BRONX ,917-423-2701,1290 HOE AVENUE,The Bronx,10459,Thursday-Saturday,10AM-2:30PM,New York,40.8308354,-73.8902987,,
Soup Kitchen,PATHHSEO INC ,917-471-9188,1357 SOUTHERN BLVD,The Bronx,10459,Saturday,12-2PM,New York,40.8321494,-73.8911626,,
Food Pantry,RESURRECTION AND LIFE PENTECOSTAL CHURCH ,929-472-4201,870 EAST 163RD STREET,The Bronx,10459,Tuesday/Saturday,12-2PM/10AM-12PM,New York,40.8215051,-73.8992926,,
Food Pantry,SPANISH SEVENTH DAY ADVENTIST CHURCH FOOD PANTRY ,718-991-7362,1038 PROSPECT AVENUE,The Bronx,10459,Thursday,8:30-11:30AM,New York,40.8246623,-73.8992134,,
Soup Kitchen,ST. ANN'S CORNER OF HARM REDUCTION ,718-585-5544,886 WESTCHESTER AVENUE,The Bronx,10459,Monday-Friday,9AM-11PM,New York,40.8204389,-73.8994908,,
Food Pantry,THESSALONIA BAPTIST CHURCH ,718 542-0828,951 REV. JAMES POLITE AVE,The Bronx,10459,Tuesday,10-11:30AM,New York,,,,
Food Pantry,WORD OF LIFE CHRISTIAN FELLOWSHIP ,718-861-5678,830 UNION AVENUE,The Bronx,10459,Saturday,11AM-3PM,New York,40.81952,-73.902913,,
Food Pantry,GETHSEMANE BAPTIST CHURCH ,347-948-0772,771 FAIRMOUNT PLACE,The Bronx,10460,Thursday,8-10AM(info by zip code in alpha order),New York,40.8425996,-73.8886302,,
Soup Kitchen,GRACE EPISCOPAL CHURCH ,718 542-1946,1909 VYSE AVENUE,The Bronx,10460,Saturday,12-1:30PM,New York,40.8403342,-73.883653,,
Food Pantry,GRACE EPISCOPAL CHURCH ,718 542-1946,1909 VYSE AVENUE,The Bronx,10460,Thursday,7:30-10:30AM,New York,40.8403342,-73.883653,,
Soup Kitchen,ST. ANTHONY'S CHURCH ,718 931-4040,1750 MANSION STREET,The Bronx,10460,Saturday,7AM-1PM,New York,40.837902,-73.8694463,,
Food Pantry,ST. THOMAS AQUINAS FOOD PANTRY ,718-589-5235,1900 CROTONA PARKWAY (SIDE OF CHURCH/BASEMENT),The Bronx,10460,Wednesday,10AM-12PM,New York,,,,
Food Pantry,UNION GROVE BAPTIST CHURCH ,347-590-3881,1488 HOE AVENUE,The Bronx,10460,Wednesday,9-11AM,New York,40.8328937,-73.8890159,,
Food Pantry,GURU SEVA HIDU MILAN MANDIR CULTURAL GROUP ,347-951-5669,3201 BRUCKNER BLVD,The Bronx,10461,Saturday,11AM-3PM,New York,40.8388712,-73.8261229,,
Food Pantry,ST. PETER'S LOVE PANTRY ,718-931-9270,2500 WESTCHESTER AVENUE,The Bronx,10461,"Tuesday(1,3)",10AM-12PM,New York,40.8387111,-73.843946,,
FPK, JEWISH COMMUNITY COUNCIL OF PELHAM PARKWAY ,718 792-4744,2157 HOLLAND AVE,The Bronx,10462,Thursday,11AM-3PM,New York,40.855319,-73.865992,,
FPH, MUNA SOCIAL SERVICE PARKCHESTER ISLAMIC CENTER ,212-920-6202,1375 VIRGINIA AVENUE,The Bronx,10462,"Thursday(2,4)",4-5PM,New York,40.8353068,-73.8622481,,
Food Pantry,PARKCHESTER BAPTIST CHURCH ,718-823-8124,2021 BENEDICT AVENUE,The Bronx,10462,"Tuesday(2,4)",11AM-12PM,New York,40.8346414,-73.8571687,,
Food Pantry,ROMAN CATHOLIC CHURCH OF ST. HELENA ,718-892-3232,1315 OLMSTEAD AVENUE,The Bronx,10462,Wednesday,12-2PM,New York,40.8342516,-73.8549828,,
Food Pantry,ST. PAUL'S LUTHERAN CHURCH ,718 822-4535,1891 McGRAW AVENUE,The Bronx,10462,Friday,8-10AM,New York,40.8348001,-73.860159,,
Food Pantry,THE KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC ,718-884-0700,3067 KINGSBRIDGE TERRACE,The Bronx,10463,"Tuesday,Thursday",11AM-2:30PM,New York,40.8774619,-73.9008888,,
Food Pantry,BRONX BETHANY COMMUNITY CORPORATION ,718-697-9672,971 EAST 227TH STREET,The Bronx,10466,"Wednesday(1,2,3,4)/Thursday(1,2,3,4)",9-11AM/3-6PM,New York,40.8868126,-73.851252,,
Food Pantry,JAMAICA BENEVOLENT ARM & CULTURAL CENTER ,646-907-9858,2230 LIGHT STREET,The Bronx,10466,Saturday,10AM-12PM,New York,40.8876583,-73.8306954,,
Food Pantry,"JESUS RECONCILIATION MINISTRIES, INC ",718-844-8704,4051 BARNES AVENUE,The Bronx,10466,"Saturday(2,4)",12-2PM,New York,40.8891438,-73.8564934,,
Food Pantry,MOUNT PISGAH BAPTIST CHURCH ,914-882-7383,709 EAST 228TH STREET,The Bronx,10466,"Saturday(2,3)",9:30AM-11:30AM,New York,40.8899033,-73.8589411,,
Food Pantry,"UNITED YES WE CAN, UNIDOS SISE PUEDE, INC ",646-321-5045,4327-4331 WHITE PLAINS ROAD,The Bronx,10466,Saturday,12-3PM,New York,40.8959936,-73.8559383,,
Food Pantry,CHRIST DISCIPLES INTERNATIONAL MINISTRIES ,917-999-8459,3021-31 WEBSTER AVENUE,The Bronx,10467,"Monday,Wednesday/Saturday",10AM-3PM/9:30AM-12:30PM,New York,40.8700315,-73.8788409,,
Food Pantry,FOOD AND NUTRITION SERVICES PROGRAM ,347-974-7397,1802 CROTONA AVENUE,The Bronx,10467,Wednesday,10AM-4PM,New York,40.8423372,-73.893831,,
Food Pantry,MOSHOLU MONTEFIORE COMMUNITY CENTER FP ,718-882-4000,3450 DEKALB AVENUE,The Bronx,10467,"Wednesday(2,3,4)",10AM-12PM,New York,40.8814858,-73.8807373,,
Food Pantry,ST. BRENDAN & ST. ANN PARISH ,718-547-6655,268 EAST 207TH STREET,The Bronx,10467,Saturday,7:30-9AM,New York,40.8754924,-73.8775043,,
Food Pantry,CHURCH OF ST. NICHOLAS OF TOLENTINE ,718-295-6800,2345 UNIVERSITY AVE,The Bronx,10468,Tuesday,9-11AM,New York,40.862239,-73.9057253,,
Soup Kitchen,"CRESTON AVENUE BAPTIST CHURCH OF CHRIST, INC ",718 367-1754,114 EAST 188TH STREET,The Bronx,10468,Saturday,12-2PM,New York,40.8617108,-73.8991388,,
Food Pantry,"CRESTON AVENUE BAPTIST CHURCH, INC ",718 367-1754,114 EAST 188TH STREET,The Bronx,10468,"Monday,Wednesday,Friday",12-2PM,New York,40.8617108,-73.8991388,,
Food Pantry,HEAVENLY VISION CHRISTIAN CENTER ,718 220-8124,2868 JEROME AVE,The Bronx,10468,Tuesday,9-10:30AM,New York,40.8714634,-73.8921727,,
Food Pantry,"POWER PRAISE AND DELIVERANCE, INC ",347-409-0288,120 EAST 184TH STREET,The Bronx,10468,Friday,12-4PM,New York,40.8595871,-73.9000991,,
Food Pantry,ST. JAMES PLACE ,718-367-0655,2500 JEROME AVENUE,The Bronx,10468,"Saturday(2,LAST)",9:30-10:30AM,New York,40.8639718,-73.8994843,,
Food Pantry,ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY ,347-350-4698,3101 EASTCHESTER ROAD,The Bronx,10469,Saturday,9-11AM,New York,40.8713209,-73.8439732,,
Food Pantry,CHURCH OF GOD OF BRONXWOOD AVENUE ,718-652-0337,3232 LURTING AVENUE,The Bronx,10469,Wednesday/Saturday,10AM-2PM,New York,40.8723914,-73.8562789,,
Food Pantry,EASTCHESTER PRESBYTERIAN CHURCH ,718-920-0679,3154 FISH AVENUE,The Bronx,10469,Saturday(3RD),10-11AM(info by zip code in alpha order),New York,40.8712365,-73.8470165,,
Soup Kitchen,EASTCHESTER PRESBYTERIAN CHURCH ,718 798-1855,3154 FISH AVENUE,The Bronx,10469,Thursday,5-6PM,New York,40.8712365,-73.8470165,,
Food Pantry,GOOD NEIGHBOR COMMUNITY OUTREACH AGENCY INC ,718-652-3288,3356 SEYMOUR AVENUE,The Bronx,10469,Wednesday/Friday,12-2PM/7-9PM,New York,40.8757261,-73.8485514,,
FPH, ICNA RELIEF BURKE AVENUE BRONX PANTRY ,214-463-3227,1277-D BURKE AVENUE,The Bronx,10469,Saturday,9-11AM,New York,40.8715813,-73.8493937,,
Food Pantry,NORTH BRONX SEVENTH DAY ADVENTIST CHURCH ,718-882-4907,3743 BRONXWOOD AVENUE,The Bronx,10469,Friday,9AM-12PM,New York,40.8809634,-73.8579243,,
Food Pantry,BREAD OF LIFE FOOD PANTRY ,347-235-3723,1104 ELDER AVENUE #15,The Bronx,10472,Saturday,1:30 - 4:30PM,New York,,,,
Food Pantry,CHURCH OF THE ATONEMENT FOOD PANTRY ,718-828-6078,1344 BEACH AVENUE,The Bronx,10472,"Saturday(2,4)",10AM-12PM,New York,40.8333796,-73.8662004,,
Food Pantry,EMANUEL PENTECOSTAL FAITH CHURCH ,718-842-4092,1310 ELDER AVE,The Bronx,10472,Wednesday,12-2PM,New York,40.8316277,-73.8796029,,
Food Pantry,"DISCIPLES OF GALILEE, INC ",347-293-6166,725 CASTLE HILL AVENUE,The Bronx,10473,Wednesday/Friday,3-4PM/1-:2:30PM,New York,40.821605,-73.8490149,,
Food Pantry,FELLOWSHIP COVENANT CHURCH ,718-829-2116,720 CASTLE HILL AVENUE,The Bronx,10473,Wednesday,9-11:30AM,New York,40.8217144,-73.84841,,
Food Pantry,GRACE & PEACE FOOD BANK ,718-924-8839,525 COMPTON AVENUE,The Bronx,10473,"Saturday(1,3)",9AM-12PM,New York,40.8129428,-73.8542815,,
Food Pantry,LT WORKS FOOD PANTRY ,347-810-1201,2347 LAFAYETTE AVENUE,The Bronx,10473,Thursday,10:30AM-12:30PM,New York,40.8239467,-73.8445293,,
Food Pantry,SHOUT FOR JOY BAPTIST CHURCH INC ,347-400-0409,456 WHITE PLAINS ROAD,The Bronx,10473,Saturday,8-9:30AM,New York,40.8149897,-73.8560761,,
Food Pantry,SPANISH SOUNDVIEW SEVENTH DAY ADVENTIST CHURCH ,718-842-7373,1822 LACOMBE AVENUE,The Bronx,10473,Wednesday,8AM-12:30PM,New York,40.8149791,-73.8612354,,
Food Pantry,CHAPEL OF THE GREAT RESTORER FOOD PANTRY ,718-673-8139,1121 LONGWOOD AVENUE,The Bronx,10474,Saturday(2ND),12-2PM,New York,40.8148523,-73.893307,,
Food Pantry,PRODIGAL CENTER ,718-644-8523,709 TIFFANY STREET,The Bronx,10474,Tuesday,11AM-2PM,New York,40.8141959,-73.891427,,
Food Pantry,BLACK FORUM OF CO-OP CITY ,718 320-8035,920 BAYCHESTER AVE (REAR LOBBY LEVEL),The Bronx,10475,"Tuesday,","THUR,FRI 11AM-12:45PM",New York,,,,
Food Pantry,COOP CITY SDA CHURCH FOOD PANTRY ,929-504-6163,1010 BAYCHESTER AVENUE,The Bronx,10475,"Wednesday(1,2,3,4)",5-7PM,New York,40.8803149,-73.8309581,,
Food Pantry,CENTER OF HOPE INTERNATIONAL ,718 784-4673,38-49 12TH STREET (L.I.C.),Queens,11101,"Tuesday,",THUR/WED 12-3PM/11AM-2PM,New York,,,,
FPM, CITY HARVEST MOBILE MARKET - QUEENSBRIDGE HOUSES ,646-412-0740,10-25 41ST AVENUE,Queens,11101,"Wednesday(1),",SAT(3) 9:30-11:30AM,New York,40.755549,-73.9445539,,
Food Pantry,EVANGEL FOOD PANTRY ,718-361-5454,39-21 CRESCENT STREET (LIC),Queens,11101,Tuesday-Friday/Saturday,9AM-3PM/9-12PM,New York,40.7542001,-73.9371142,,
Food Pantry,IGLESIA ALIANZA MISIONERA EBENEZER ,718 729-1944,43-02 38TH STREET (L.I.C.),Queens,11101,Saturday,8AM-1PM,New York,,,,
Food Pantry,ST. RAPHAEL CHURCH FOOD PANTRY ,718 729-8957,"35-20 GREENPOINT AVE, LIC",Queens,11101,Thursday/Saturday,10:3A-12P/1:3-3P,New York,40.7357377,-73.9343153,,
FPM, CITY HARVEST - ASTORIA MOBILE MARKET ,646-412-0725,7-1 ASTORIA BLVD,Queens,11102,"Thursday(3),Saturday(1)",9:30-11:30AM,New York,40.7708964,-73.9211732,,
Food Pantry,THE SALVATION ARMY ASTORIA CORPS ,718 721-9046,45-18 BROADWAY,Queens,11103,"Tuesday,Thursday",10AM-2PM,New York,,,,
Food Pantry,HOUR CHILDREN COMMUNITY OUTREACH ,718-482-8226,36-49 11TH STREET (LIC),Queens,11106,"Monday,Thursday/Tuesday",2-4PM/10:30AM-12:30PM,New York,40.7599285,-73.9405265,,
Food Pantry,SAGE CENTER BROOKLYN ,646-518-974,271 MYRTLE AVENUE (STONEWALL HOUSE),Brooklyn,11201,Thursday(4),12-2PM,New York,,,,
Food Pantry,VINEGAR HILL FOOD PANTRY ,908-403-5755,228 YORK STREET,Brooklyn,11201,"Tuesday(2,4)",12-1PM,New York,40.7006788,-73.9813917,,
Food Pantry,"BEYOND WALLS, INC ",347-406-5878,188 EAST 53RD STREET,Brooklyn,11203,Tuesday,1:30-3PM,New York,40.6552933,-73.9280045,,
Soup Kitchen,BROOKLYN FAITH SDA CHURCH ,718-342-6712,5518 CHURCH AVENUE,Brooklyn,11203,Friday,12-3PM,New York,40.6522947,-73.9249099,,
Food Pantry,BROOKLYN FAITH SEVENTH DAY ADVENTIST CHURCH ,718-342-6712,5518 CHURCH AVENUE,Brooklyn,11203,Thursday,1-4PM,New York,40.6522947,-73.9249099,,
Food Pantry,CHRISTIAN FELLOWSHIP SEVENTH DAY ADVENTIST COMMUNITY SVCS-F.P. ,718-916-0956,777 SCHENECTADY AVENUE,Brooklyn,11203,"Wednesday(1,2,3,4)",10:30AM-12:30PM,New York,40.6543811,-73.9332844,,
Soup Kitchen,CHRISTIAN FELLOWSHIP SEVENTH DAY ADVENTIST COMMUNITY SVCS-S.K. ,718-916-0956,777 SCHENECTADY AVENUE,Brooklyn,11203,"Monday,Tuesday,Wednesday",5-6PM(info by zip code in alpha order),New York,40.6543811,-73.9332844,,
Food Pantry,"ELITE LEARNERS, INC ",347-221-0188,4517 AVENUE D,Brooklyn,11203,Thursday,10AM-12PM,New York,40.6420805,-73.9335388,,
Food Pantry,GOD'S BATTALION OF PRAYER CHURCH ,718 774-5447,661 LINDEN BOULEVARD,Brooklyn,11203,"Tuesday,Thursday",9AM-12PM,New York,40.6537508,-73.9339737,,
Food Pantry,MOUNT CARMEL WORSHIP AND OUTREACH CENTER ,917 982-7987,784 EAST 46TH STREET,Brooklyn,11203,Monday,12-2PM,New York,40.6421552,-73.9333866,,
FPH, MUNA SOCIAL SERVICE EAST FLATBUSH ,212-920-6202,167 EAST 43RD STREET,Brooklyn,11203,"Monday(2,4)",5-6PM,New York,40.6518852,-73.9369666,,
Food Pantry,PENIEL SEVENTH DAY ADVENTIST CHURCH ,518-652-3246,1210 UTICA AVENUE,Brooklyn,11203,Friday,10AM-12PM,New York,40.6430479,-73.9298703,,
FPK, SHALOM SENIOR CENTER ,718 774-9213,483 ALBANY AVE,Brooklyn,11203,Monday-Friday,12-1PM,New York,40.6634054,-73.939668,,
Food Pantry,ST. THERESE OF LISIEUX R.C. CHURCH ,718-451-0683,4410 AVENUE D,Brooklyn,11203,Tuesday,10:30AM-12:30PM,New York,40.6417156,-73.934904,,
Food Pantry,THE CITY OF GRACE INC ,718 693-7074,3402 TILDEN AVENUE,Brooklyn,11203,Tuesday,11AM-1PM,New York,40.646824,-73.9450786,,
Soup Kitchen,UNITED COMMUNITY BAPTIST CHURCH ,718-467-7708,545 UTICA AVENUE,Brooklyn,11203,Saturday,10AM-12PM,New York,40.6601505,-73.9309295,,
FPM, PAYO MOBILE FOOD PANTRY ,718-713-2000,2483 65TH STREET,Brooklyn,11204,Friday,1:30-2:30PM,New York,40.6100009,-73.9747504,,
Food Pantry,REACHING-OUT COMMUNITY SERVICES INC ,718 373-4565,6417 18TH AVENUE,Brooklyn,11204,Monday-Friday,9AM-5PM,New York,40.6192044,-73.9897009,,
Food Pantry,ST. ATHANASIUS R.C. CHURCH FP ,718-236-0124,2154 61ST STREET,Brooklyn,11204,Monday,3:15-5PM,New York,40.6164541,-73.980019,,
Food Pantry,CELESTIAL CHURCH OF CHRIST ILERI PARISH ,718-624-8758,138 WAVERLY AVENUE,Brooklyn,11205,Saturday(2ND),12-3PM,New York,40.6936831,-73.9681682,,
FPM, CITY HARVEST - BED-STUY MOBILE MARKET ,646-412-0740,736 PARK AVENUE,Brooklyn,11206,"Wednesday(3),Saturday(1)",9:30-11:30AM,New York,40.6977462,-73.9460915,,
Food Pantry,COMPASSION HOUSE COMMUNITY DEVELOPMENT CORPORATION ,718 386-8151,43 GEORGE STREET,Brooklyn,11206,"Thursday(1,3)",9-11:30AM,New York,40.7014652,-73.9316619,,
Food Pantry,"SANTANA & VARGAS CHARITIES, INC ",718-885-4592,576 WILLOUGHBY AVENUE,Brooklyn,11206,Monday-Wednesday/Saturday/Sunday,10AM-12:3P/12-3P/3-5P,New York,40.6940895,-73.9463333,,
Food Pantry,SOLID ROCK BAPTIST CHURCH ,718 384-8764,120 TOMPKINS AVE,Brooklyn,11206,"Monday,Thursday",9AM-12PM,New York,40.6951413,-73.9464058,,
Food Pantry,ST. STEPHEN OUTREACH COMMUNITY DEVELOPMENT CORPORATION ,718-938-4532,874 MYRTLE AVENUE,Brooklyn,11206,"Wednesday,Friday",9-10:30AM,New York,40.6953176,-73.947118,,
Soup Kitchen,ST. STEPHEN OUTREACH COMMUNITY DEVELOPMENT CORPORATION ,718-938-4532,874 MYRTLE AVENUE,Brooklyn,11206,Wednesday-Friday,11AM-1PM,New York,40.6953176,-73.947118,,
Food Pantry,TRINITY HUMAN SERVICE CORPORATION ,718 388-3176,153 A JOHNSON AVENUE,Brooklyn,11206,Tuesday-Friday,9AM-12PM&1-4PM,New York,,,,
Food Pantry,BETHLEM NATION'S FOOD PANTRY ,718-257-8300,1962-84 LINDEN BLVD,Brooklyn,11207,Saturday(4TH,ONLY) 10AM-12PM,New York,,,,
Food Pantry,CHRISTIAN CULTURAL CENTER ,718-306-1021,12020 FLATLANDS AVENUE,Brooklyn,11207,Thursday,9AM-3PM,New York,40.6513743,-73.8892862,,
Food Pantry,CHURCH OF GOD PROPHECY ,718-649-5533,71 MALTA STREET,Brooklyn,11207,"Tuesday(2,4)",3:30-6PM,New York,40.6590465,-73.8949838,,
Soup Kitchen,CHURCH OF GOD PROPHECY ,718-649-5533,71 MALTA STREET,Brooklyn,11207,"Tuesday(2,4)",3:30-6PM,New York,40.6590465,-73.8949838,,
Food Pantry,CORNERSTONE SEVENTH DAY ADVENTIST CHURCH ,917-915-6769,138 PENNSYLVANIA AVE,Brooklyn,11207,Thursday,10AM-12PM,New York,40.6744896,-73.8969427,,
Soup Kitchen,CORNERSTONE SEVENTH DAY ADVENTIST CHURCH ,917-915-6769,138 PENNSYLVANIA AVE,Brooklyn,11207,Sunday,11:30AM-1:30PM,New York,40.6744896,-73.8969427,,
Food Pantry,EAST NEW YORK WESLEYAN CHURCH/NEW HOPE FAMILY WORSHIP CENTER ,718-342-1305,817 LIVONIA AVENUE,Brooklyn,11207,Saturday,11AM - 1PM,New York,40.6659881,-73.8865164,,
Food Pantry,FAMILY SERVICE NETWORK OF N.Y. INC ,718-455-6010,1420 BUSHWICK AVENUE,Brooklyn,11207,"Monday,Wednesday",9AM-1PM,New York,40.6840366,-73.9089524,,
Food Pantry,HOPE EMPOWERMENT AND DEVELOPMENT ZONE FOOD PANTRY ,718-568-7072,369 NEW LOTS AVENUE,Brooklyn,11207,Saturday(3RD),12-4PM,New York,40.6618993,-73.8936043,,
Food Pantry,HOUSE OF DAVID WORSHIP CENTER ,718-649-5982,747-749-HENDRIX STREET,Brooklyn,11207,Wednesday,10:30AM-12:30PM,New York,40.6781651,-73.890773,,
Food Pantry,ICL AND CHN FOOD PANTRY ,718-495-6700,2581 ATLANTIC AVENUE,Brooklyn,11207,Wednesday,10AM-1PM(info by zip code in alpha order),New York,40.6758662,-73.8991291,,
FPH, MUNA SOCIAL SERVICE AN-NAMIRAH ,212-920-6202,2135 PITKIN AVENUE,Brooklyn,11207,"Monday(1,3)",2-3PM,New York,40.6724129,-73.8936312,,
Food Pantry,MYLAH'S ORGANIZATION INC  ,NONE PROVIDED,509 VAN SICLEN AVENUE,Brooklyn,11207,"Tuesday(2,4)",9-11AM,New York,40.6672582,-73.8887853,,
Food Pantry,BLESSED SACRAMENT CHURCH ,718 827-1200,198 EUCLID AVENUE,Brooklyn,11208,Wednesday,9:30-11:30AM,New York,40.683775,-73.8743819,,
Food Pantry,CITY OF REFUGE FP ,929-289-2267,1115 BLAKE AVENUE,Brooklyn,11208,Wednesday,9:30AM-12PM,New York,40.670695,-73.8767267,,
Food Pantry,EAST NEW YORK SEVENTH DAY ADVENTIST CHURCH ,718-647-0764,511 ELTON STREET,Brooklyn,11208,"Thursday(2,4)",11AM-2PM,New York,40.6704457,-73.8824458,,
Food Pantry,ISAIAH'S TEMPLE OF MT. HOPE ,718 277-4038,862 GLENMORE AVE,Brooklyn,11208,Thursday,2-4PM,New York,40.6757053,-73.8781846,,
Soup Kitchen,ISAIAH'S TEMPLE OF MT. HOPE ,718 277-4038,862 GLENMORE AVE,Brooklyn,11208,"Tuesday,Thursday",2-4PM,New York,40.6757053,-73.8781846,,
Food Pantry,LAS MARAVILLAS DEL EXODO ,347-691-8340,302 ELTON STREET,Brooklyn,11208,Wednesday,9-11AM,New York,40.6758094,-73.8841694,,
